,Description,Cost
1,Link chain large jumbo pormelato,991.0
2,New York Gold,134.78
3,Adjustable Ball - 2.15 gm * 51.75,111.26
4,Adjustable Ball - 2.15 gm * 51.75,111.26
5,Adjustable Ball - 2.15 gm * 51.75,111.26
6,Adjustable Ball - 2.15 gm * 51.75,111.26
7,Link chain large jumbo pormelato,991.0
8,New York Gold,134.78
9,Damaged Chains - 18 inches 3.6 gm,162.0
10,Rolo Chain 16inches 6.5 gm *51.00,331.5
11,Ball Chain - 18 Inches 2.6 gm * 48.75,126.75
12,Rolo oval - 18 inches 3.8 gm *46.00,174.8
13,Paperclip Chain 16 inches,225.0
14,Cable chain 30inch 2.9g*48.75,141.3
15,Cable diamond cut V 30inches 3.7gm*49,181.3
16,NY Gold small bal 18inch. 1.9g*45,85.5
17,DVF tag Bal Pop Clip 3.3gm *51.8,168.3
18,Small ball Diamond cut 18inch 1.7 gm*45,76.5
19,Link chain 16inches - 4.4gm*54,237.6
20,NY Gold - Made in Turkey 3.3gm*51.8,168.0
21,DVF Boly Link 3.3gm*51,168.3
22,NY Gold 18inches 3.5gm*47,164.5
23,Like DVF 16inches 2.8 gm*51,142.88
24,Adjustable Ball 18inches 2.10*50.75,106.5
25,Small Rolo 18 inches 1.5gm*49,73.5
26,Lock Link 18 inches 7.5gm * 54,405.0
27,Small ball chain 16 inches 1.7g *45,76.5
28,Cable chain open 2.2gm *49,107.0
29,Cable chain diamond cut 30 inches 3.6gm *48.75,175.5
30,Link chain16 inches 7.9gm*54,426.6
31,Small Rolo 18 inches 2.8gm*50.75,142.1
32,DVF Chain Boly Link 18 inches 3.3gm*51.80,168.3
33,Open cable chain 34inches 4gm*49,196.0
34,Transparent chain - Invisible,40.0
35,Gold Chain - 1.3gm*45,58.5
37,"Small disc with diamond letter and double
bezel chain14k",421.0
38,14K Half Paper clip Half Oval 18'' chain,553.0
39,14k international ultra jambo Link bracelet,991.0
40,Big Jumbo 14K YG End + 2RECT,1221.0
