,Description,Cost
1,Mushroom malachite diam 0.06cts - MDP 2527 M,95.95
2,Mom Charm,366.21
3,Charm,297.5
4,Arrow,283.86
5,Charm Leaf,245.0
6,Charm Hand - 14K D0.08ct,263.55
7,Charm Blue eye,135.0
8,Charm lightening,65.0
9,Charm Green Chain - Locker 1,245.35
10,charem Locker 2,343.0
12,Charm Snake 0.18 ct,144.55
13,Charm Snake 0.18 ct,144.55
14,Charm Star1,402.0
15,Charm Star 2,210.0
16,Charm Star 3,186.0
17,Charm star 4,124.25
18,Charm Saphire (Diamond 0.10ct and saphire 1.55ct,223.3
19,Charm Blue star gold 14K,85.05
20,Charm Blue star gold 14K,85.05
21,Charm North & South 14K D0.46,445.0
22,Charm Shell Diam 0.35ct,310.8
23,Charm green point,439.02
24,Charm Bee,474.25
25,Charm Enamel,330.75
26,Charm Sun,683.9
27,Charm 14K D0.29ct,382.55
28,Charm Blue,231.7
29,Charm Blue eye 14K DO 0.35ct,390.95
30,Charm Blue Heart 1 14K 0.50ct,361.9
31,Charm Blue Heart 2 14K 0.50ct,361.9
32,"Charm Purple heart 14K D 0,28ct rubis 0.12ct",451.15
33,Charm blue heart 3 - 14K D 0.12ct,206.15
35,Charm Blue heart 5 14K 0.23ct,254.1
36,Charm red heart rubi 0.71ct - 14k,308.7
37,Pink Heart - 14K diamo 0.11ct,252.7
38,Charm Heart,365.0
39,Charm white heart,110.0
40,Charm Mom Diam 0.22ct Rubi 0.16ct,424.9
42,Charm L,40.0
43,Charm Love 2,89.25
44,Charm Heart Diamonds,250.95
45,Charm small heart 14k D 0.14K,85.75
46,Charm pink heart - BSY 14K D0 0.23ct,415.45
47,Charm Blue heart diamonds - 14K D0.23 ct BSO 0.34ct,427.0
48,Charm pink heart - BSY 14K D0 0.23ct,223.3
49,Charm Sun,324.1
50,Charm Pearl,91.0
51,Charm Pearl,91.0
52,Charm Hear and Diamonds,232.05
53," Hexagonal, Thickness 17mm",239.0
54,"Star ,14k gold, Diamond 0.05 ct   
Diam 18mm, Thickness 1 1/2 mm",239.4
55,"Butterfly 
Thickness1 mm",268.45
56,"14k DO, 14 ct, ",96.25
57,"14KD0.14CT,SMALL DIAMOND HEART",85.75
58,"14K GOLD 94508, HEART BIG",547.75
59,Colour charms 8.4 gm*57,36.83
60,Colour charms 8.4 gm*57,36.83
61,Colour charms 8.4 gm*57,36.83
62,Colour charms 8.4 gm*57,36.83
63,Colour charms 8.4 gm*57,36.83
64,Colour charms 8.4 gm*57,36.83
65,Colour charms 8.4 gm*57,36.83
66,Colour charms 8.4 gm*57,36.83
67,Colour charms 8.4 gm*57,36.83
68,"Evil Eye Pendant 14k
Reconstructed Coral",469.0
69,"Evil Eye Pendant 14k
Onix",469.0
70,"Evil Eye Pendant 18k
Tiger Eye",503.0
71,"Evil Eye Pendant
Malachite 18k ",503.0
72,"Evil eye two layer diamonds and ruby -
14k - 0.24ct ",337.0
73,"Evil eye small diamonds and
turquoise - 14k - 0.16ct - 12.4mm",251.0
74,"Evil eye small diamonds and
ruby - 14k - 0.16ct - 12.4mm",256.0
75,"evil eyes marquise malachite and ruby
13mm 14k 0.12ct",286.0
76,"Hamsa Large 18k
Mother of Pearl",555.0
77,"Hamsa Small 18k
Reconstructed Coral",476.0
78,Hamsa Small 14k Tiger Eye,391.0
79,"Hamsa Large 14k
Malachite",460.0
80,14KY LOCKET,203.27
82,"Diamond and solid 18k gold initial 0.5in
13mm",426.0
83,"Diamond and solid 18k gold initial 0.75in
19mm",347.0
84,"Diamond and solid 18k gold initial 1in
25mm",428.0
85,"inicial block letter 14k gold two bezel
diamonds necklace ",215.0
86,"Block letter initial in diamonds - 14k
necklace ",218.0
87,12mm disc to be engraved,175.0
88,"disc with diamond letter on top
14k 10mm",251.0
89,"disc with diamond letter on top
14k 12mm",260.0
90,"Halo disc necklace large (to be engraved)
14k 13mm 0.24ct",354.0
91,"Halo disc necklace small (to be engraved)
14k 10mm 0.16ct",281.0
92,"Zodiac 14K disc with burnished diamonds with
14k link chain with 2 clasps (16”)",1079.0
93,"Diamond Initial 14K Disc with link chain
with 2 clasps (16”)",1061.0
94,Charm Heart middle,263.34
95,Charm Star,211.66
96,Charm Love,187.72
97,Charm Flower,184.3
98,Charm Mushroom,183.16
99,Charm blue diamonds,193.8
100,Charm Heart ,237.5
101,charm butterfly,199.0
102,Charm Lightening,128.44
103,Charm blue Horn,370.88
104,Charm Star,203.0
105,Charm Triangle,159.22
106,Charm blue half Moon 14K D0.17CT,414.05
107,Charm green Half Moon 14K D0.16CT ,516.95
108,Charm blue Moon 14K D0.06CT LP2.53CT,163.8
109,Charm Octopus 14K D0.23CT BD0.03CT,200.55
110,Charm Mushroom 14K D0.06CT Mal 1.24CT,109.2
111,Charm 8 14K D0.30CT,311.15
112,Diamond charm 1.10K,600.0
