,Description,Cost
1,Diamond Earing 14K Gold 1.12 cts Diamond,792.75
2,Diamond Earing 14K Gold 0.75cts Diam MDE 2078Y,621.25
3,Earing 14K D0.12ct,198.8
4,Earing Huggie Safari 14K D0.12CT BS 0.16CT 12mm,203.0
5,Earing 14K FCD 0.10CT BGT 0.05CT,1505.7
6,Earing 14K FCD 0.15CT,620.9
7,Huggie,270.9
8,Diamond earings,350.0
9,Butterfly earing - Single,222.0
10,Earings Small star - Pair,270.0
11,Diamonds 0.60 ct Rowl=0.10ct / Baguette 0.6,752.85
12,Diamonds 0.60ct Rowl=0.20ct / Baguette 0.16,752.85
13,Earings - Malachit,179.2
14,Huggie Diamond Saphire 0.12ct saphire 0.16ct 12mn,203.0
15,Huggies with,198.0
16,Huggies (Envelope Vazio),198.8
17,Earings - 2.5cm (Total diameter 2.5gm*42,105.0
18,Earings 3cm (total Diameter) 1.9gm,110.0
19,Earings 2.6cm(Total diameter) 3.4gm*50gm,170.0
20,Earings 3.8cm Rim 4mm 4.8gm*50,190.0
21,Earings 14K Diamonds 0.13CT,533.0
22,Earings,115.0
24,"Huggies with Diamond Round with Pen Shape
 14k FCDO 41ct Fancy0.39ct",891.1
25,"Huggies with Marquis 
14k Do 17ct FANCY0.39CT SC5",538.65
26,"CORAL, 14k DO 33CT COR2 24ct",394.1
27,"HUGGIES, 14 k FCDO 15ct EMO,79 CT - Emerald hanging",395.85
28,"14K D0.03ct ,Small STAR",112.0
29,"14K 0.20CT MT0.06CT, Bigger STAR",215.6
30,"14K Diamond ,12ct",792.75
31,14K FCD0.75CT,621.25
32,"18k, Diamond MQ 1/4 3.98CT 
Diamond 1/3 (2) .63 - Total 4.61cts",3360.0
33,"18k Diamond MQ 1/4 (8) 1.91 ct
Diamond MQ 1/3 (8) 2.55 cts
Diamond (62) .37ct
Diamond (2) .09ct  - Total 4.92CTS",3800.0
34,"Yellow stud ,18k, D MQ 1/4 (6) 1.45ct
D MQ 1/3 (2) 0.67ct
D 11mm (6) 0.5ct
D PAN 1/5 (2) 0.40ct
D .14mm (2) 0.38ct     Diamon +11.00mm (6) 0,59ct
DPAN q(2) 0.26cT      Diamond oval 1/3 (2) 0.62     =  Total 4.63ct                                                                      ",3232.0
35,"Stud 18k , Diamond oval (1/5) (6) 1.20ct
Diamond tilam (6) 0.76ct
Diamond Marquis(1/5) (6) 1.16ct
Diamond Marquis (1/5) (2) 0.76ct
Diamond PAN (1/4) (2) ).52ct =  Total 4.40ct ",3050.0
36,"Stud, Diamond 1 CT",1500.0
37,4 ct Diamond,2000.0
