,Description,Cost
1,Diamond 18K Necklace - 18KW-1.40gm 8DIS-0.15CT,138.0
2,Diamond 18K Necklace - 18KW-1.40gm 8DIS-0.15CT,138.0
3,Diamond 18K Necklace - 18KW-1.40gm 8DIS-0.15CT,528.5
4,Diamond 18K Necklace - 18KW-1.40gm 8DIS-0.15CT,528.5
5,Diamond 18K Necklace 18KW - 1.90GM 10DIS-0.50CT,261.0
6,Diamond 18K Necklace 18KW - 1.90GM 10DIS-0.50CT,261.0
7,Necklace casting 14k Gold (Rita bought for someone),1155.4
8,Diamond 18K Necklace - 18KT - C-0.55CT,336.0
9,Diamond 18K Necklace - 18KT - C-0.60CT,373.6
10,Gold Necklace small blue heart,364.35
11,Gold Necklace small blue heart,336.0
14,"Name 3 letters 14k
necklace / bracelet",328.0
15,"Name 4 letters 14k
necklace / bracelet",323.0
16,"Name 5 letters 14k
necklace / bracelet",382.0
17,"Name 6 letters 14k
necklace / bracelet",430.0
18,"Name 6 letters vertical
necklace 14k",437.0
19,"Name 7 letters 14k
necklace / bracelet",472.0
20,"Name 8 letters 14k
necklace / bracelet",524.0
21,"Baby letter love necklace hor or vert
14k 0.17ct ",305.0
22,"Love manuscript necklace in
diamonds 14k 0.24ct",370.0
23,"Love manuscript necklace in plain 14k
gold and bezel diamond",203.0
24,"Love dangling letters necklace
14k 5.5mm 0.17ct",392.0
26,"3 block diamond letters 14k - necklace
6.5mm",418.0
27,"Plaque 8.6mm with diamond letter en
-
graved - necklace 14k",214.0
28,"Plaque 12mm with diamond letter en
-
graved - necklace 14k",285.0
32,"Double sided engraved bar1 bezel diamond
14k 30mm x 4mm x 1.3mm",256.0
35,"bar necklace w/ 2 engraved letters 1 diamond
14k 20mm X 5mm 0.015ct",201.0
36,"Three rings necklace with diamonds
14k 0.12ct",443.0
37,"Mom oval necklace with bezel diamond
14k 0.01ct",305.0
38,"Love oval necklace
14k",261.0
39,In Charge Small 14KY,657.0
40,In Charge Large 14KY,927.0
41,"“In Charge” 14K necklace with bezel
diamonds in an adjustable 14K chain (18”)",319.0
42,“In Charge” 14K necklace in a “diamond by the yard” adjustable 14K chain (18”),436.0
43,"“In Charge” 14k necklace with diamond
bail with leather chain with 14K clasp",495.0
44,"“Love is Life is Love” 14K necklace with
diamonds in an adjustable 14K chain (18”)",381.0
45,"“In Charge” baby 14K necklace with one bezel
diamond in an adjustable 14K chain (18”)",287.0
46,"“In Charge” small 14K necklace with one bezel
diamond in an adjustable 14K chain (18”)",287.0
48,"Diamond Lips Large 14k
14.6 mm 0.32ct",431.0
49,"Diamond Lips small 14k
11.8mm 0.20ct",316.0
50,Necklace Turquoise 20''  2gm*57,114.0
51,Necklace Turquoise 18'' 2gm*57,114.0
52,Necklace Turquoise 16'' 2.7g *57,153.9
53,Necklace Turquoise 18'' 2.9*57,165.3
54,Coral Necklace 17 '' 3.3gm,188.1
55,Coral Necklace 18'' 2.8gm,159.6
