,Description,Cost
1,Ring 14K Gold 0.32cts Diamond,416.85
2,Ring 14K D0.04CT  BGT 0.04CT ,303.1
3,Ring 14K D0.13CT,332.85
4,Ring 14K D0.30CT,459.2
5,Ring Diamond14K D0.32CT,539.0
6,Ring Diamond 0.30ct,687.75
7,Ring Diamond 0.33ct - size 7,648.2
8,Ring,338.45
9,Ring Heart,192.5
11,"RING 14 K, 32CT",416.85
12,"cigar ring band, 14k 6.5mm",317.0
13,"cigar ring band
14k 7.5mm",361.0
14,"cigar ring band
14k 9.5mm",459.0
15,"Signet ring
14k ",462.55
16,"Wire ring baby letter
14k",160.0
17,"Slave ring dangling
baby letter 14k",240.0
18,"Intertwined ring with dangling
initial 14k",240.0
19,"Double faced ring
14k",311.6
20,"Love cigar ring baby letters
14k 0.17ct",662.0
21,"Diamond Initial 14K Cut Out Signet Ring
with engraved “In Charge”",510.0
22,"Signet Ring 14K with Initial in Diamonds
with engraved “In Charge”",575.0
23,"Diamond Initial 14K Cut Out Initial Signet Ring with
engraved “In Charge” - letter A - size 5",403.0
24,"Diamond Initial 14K Cut Out Initial Signet Ring with
engraved “In Charge” - letter S - size 5 ",415.0
25,"Signet Ring 14K with Initial in Diamonds
with engraved “In Charge” - size 5",426.0
26,"Signet Ring 14K with Initial in Diamonds
with engraved “In Charge” - size 6",426.0
27,Diamond Ring 14K,528.0
